Fechayhora;"Departamento";"Localidad";"Jurisdiccion ";"TipodeSiniestro";"Vehiculo";"Rol";Edad;"Sexo";FallecidoalosDias;"Otrovehiculo";"LugardelSiniestro";"X";"Y"
2019-02-08 20:45:00;"ROCHA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";56;"F";0;"AUTO";"RUTA 9 KM 285;000";"806751.08";"6219743.51"
2019-02-09 00:20:00;"ROCHA";"N/C";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";23;"F";0;;"RUTA 9 KM 250;000";"777885.07";"6206792.45"
2019-02-09 00:20:00;"ROCHA";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";54;"M";0;;"RUTA 9 KM 250;000";"777885.07";"6206792.45"
2019-02-09 09:41:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";24;"M";0;"CAMION";"RUTA NACIONAL 5 ESQ. CAMINO FAUQUET";"567111.2725";"6152521.4716"
2019-02-09 22:09:00;"SALTO";"CONSTITUCION";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";68;"M";2;"MOTO";"GENERAL JOSE G. ARTIGAS ESQ. DOCTOR ENRIQUE J. LUCAS";"418830.9943";"6561824.7356"
2019-02-12 06:22:00;"CANELONES";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";29;"M";0;"CAMION";"RUTA 101 KM 31;500";"594425.48";"6154486.13"
2019-02-12 09:30:00;"ARTIGAS";"N/C";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";66;"M";3;"CAMION";"TOMAS BERRETA ESQ. BERNABE RIVERA";"551459.182";"6636652.9138"
2019-02-13 11:00:00;"MALDONADO";"PUNTA DEL ESTE";"DEPARTAMENTAL";"COLISIÓN CON OBSTÁCULO EN CALZADA";"MOTO";"CONDUCTOR";29;"M";0;;"RESALSERO ESQ. LA GALERNA y EL ESTRECHO";"687731.376";"6128868.621"
2019-02-13 11:40:00;"CANELONES";"N/C";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";68;"F";1;"CAMIONETA";"RUTA 81 KM 57;000";"610485.19463245";"6187491.868954"
2019-02-13 16:15:00;"CERRO LARGO";"RIO BRANCO";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";73;"M";1;;"DEL EXODO ESQ. JOAQUIN ANTONIO GUNDIN";"838928.33027518";"6387262.63349715"
2019-02-13 18:15:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";27;"M";8;"CAMIONETA";"AVENIDA DOCTOR CARLOS MARIA RAMIREZ ENTRE PATAGONIA y DINAMARCA";"567427.2417";"6140502.5376"
2019-02-19 10:00:00;"CANELONES";"PIEDRA DEL TORO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";86;"M";1;"CAMION";"CANELONES ESQ. RUTA 8 KM 37;600";"601899.1785";"6159473.2316"
2019-02-21 06:00:00;"SORIANO";"DOLORES";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";33;"M";1;"CAMION";"CALLE ESTE ESQ. DOCTOR ADALBERTO SCHUSTER";"387623.03224145";"6289494.50420927"
2019-02-21 12:13:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";24;"F";2;"CAMION";"RUTA 102 KM 28;500 esq. Cno. Manganga";"585307.8365";"6149304.7851"
2019-02-22 19:50:00;"COLONIA";"JUAN LACAZE";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";0;"F";1;"MOTO";"GENERAL JOSE G. ARTIGAS ENTRE SORIANO y RAMON ORTIZ";"459335.5837";"6189979.3957"
2019-02-23 03:26:00;"PAYSANDU";"N/C";"DEPARTAMENTAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";44;"M";0;;"CAMINO VECINAL A PIÑERA";"485076.11515402";"6421524.23338123"
2019-02-23 05:50:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";41;"F";0;;"RUTA 8 KM 391;000";"769726.6";"6411901.58"
2019-02-23 05:50:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";52;"M";2;;"RUTA 8 KM 391;000";"769726.6";"6411901.58"
2019-03-02 05:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";26;"M";0;"CAMION";"RUTA 102 KM 32;000";"582108.05";"6149703.89"
2019-03-02 05:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";27;"M";0;"CAMION";"RUTA 102 KM 32;000";"582108.05";"6149703.89"
2019-03-02 05:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";21;"M";0;"CAMION";"RUTA 102 KM 32;000";"582108.05";"6149703.89"
2019-03-02 18:56:00;"FLORIDA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";40;"F";0;"CAMION";"RUTA 5 KM 103;000";"570029.18";"6232279.43"
2019-03-03 13:55:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";33;"M";0;"CARRO";"JOSE TRAPANI ESQ. CAMINO ALIANZA";"568105.0393";"6142579.9216"
2019-03-03 21:00:00;"SAN JOSE";"N/C";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";56;"M";0;;"CAMINO VOULMINOT KM 74;000";"517579.97807841";"6179034.57861025"
2019-03-04 11:50:00;"RIVERA";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";61;"M";0;;"RUTA 28 KM 29;000";"647565.06";"6503338.46"
2019-03-04 13:51:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE ANIMALES";"MOTO";"CONDUCTOR";40;"M";0;;"ACCESOS";"569229.42670424";"6141111.11160915"
2019-03-05 06:20:00;"ROCHA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMION";"CONDUCTOR";40;"F";0;"AUTO";"RUTA 9 KM 182;000";"728677.06";"6163668.75"
2019-03-05 06:20:00;"ROCHA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMION";"PASAJERO";61;"M";0;"AUTO";"RUTA 9 KM 182;000";"728677.06";"6163668.75"
2019-03-05 22:25:00;"SORIANO";"N/C";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";75;"M";0;"CAMIONETA";"RUTA 2 KM 190;000";"459330.38";"6256008.57"
2019-03-07 05:20:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";40;"M";0;"OMNIBUS";"RUTA 1 KM 8;500";"567831.73";"6142551.65"
2019-03-09 10:52:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";73;"F";1;"AUTO";"RUTA 5";"568224.78112195";"6144892.49413973"
2019-03-10 16:00:00;"TREINTA Y TRES";"N/C";"DEPARTAMENTAL";"DESPISTE";"AUTO";"CONDUCTOR";35;"M";0;;"CEIBOS (INE 527)";"815305.06188741";"6347487.30886921"
2019-03-10 20:30:00;"LAVALLEJA";"MINAS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";74;"M";0;"CAMIONETA";"AVENIDA GENERAL FLORES";"661298.52542577";"6198411.50954328"
2019-03-10 02:40:00;"MALDONADO";"SAN CARLOS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";24;"M";0;"MOTO";"AVENIDA FRADE";"691930.08037065";"6148178.22963488"
2019-03-10 02:40:00;"MALDONADO";"SAN CARLOS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";19;"M";0;"MOTO";"AVENIDA FRADE";"691930.08037065";"6148178.22963488"
